주차장명,주차대수,year
여의도4주차장,68,2023
여의도3주차장,2209,2023
여의도5주차장,241,2023
여의도3주차장,1428,2023
여의도1주차장,4959,2023
여의도4주차장,44,2023
여의도2주차장,2351,2023
여의도5주차장,355,2023
여의도2주차장,1096,2023
여의도1주차장,2110,2023
여의도4주차장,224,2023
여의도3주차장,1129,2023
여의도3주차장,1012,2023
여의도2주차장,569,2023
여의도1주차장,1167,2023
여의도4주차장,212,2023
여의도5주차장,376,2023
여의도5주차장,417,2023
여의도3주차장,1232,2023
여의도1주차장,1679,2023
여의도4주차장,250,2023
여의도2주차장,838,2023
여의도3주차장,3975,2023
여의도1주차장,3965,2023
여의도2주차장,1736,2023
여의도5주차장,441,2023
여의도4주차장,111,2023
여의도4주차장,118,2023
여의도5주차장,375,2023
여의도1주차장,4190,2023
여의도3주차장,3098,2023
여의도2주차장,1567,2023
여의도4주차장,229,2023
여의도3주차장,1838,2023
여의도1주차장,3233,2023
여의도2주차장,1640,2023
여의도5주차장,409,2023
여의도3주차장,1434,2023
여의도1주차장,2202,2023
여의도5주차장,424,2023
여의도4주차장,232,2023
여의도2주차장,1213,2023
여의도4주차장,208,2023
여의도2주차장,662,2023
여의도3주차장,1033,2023
여의도5주차장,364,2023
여의도1주차장,1427,2023
여의도4주차장,267,2023
여의도2주차장,1126,2023
여의도3주차장,1217,2023
여의도1주차장,2214,2023
여의도5주차장,459,2023
여의도1주차장,2191,2023
여의도4주차장,261,2023
여의도5주차장,449,2023
여의도3주차장,1261,2023
여의도2주차장,1334,2023
여의도4주차장,65,2023
여의도5주차장,217,2023
여의도2주차장,1397,2023
여의도1주차장,3462,2023
여의도3주차장,2929,2023
여의도3주차장,1317,2023
여의도1주차장,2439,2023
여의도5주차장,295,2023
여의도4주차장,113,2023
여의도2주차장,1254,2023
여의도2주차장,594,2023
여의도4주차장,66,2023
여의도3주차장,677,2023
여의도5주차장,141,2023
여의도1주차장,1511,2023
여의도4주차장,218,2023
여의도2주차장,1086,2023
여의도1주차장,2288,2023
여의도3주차장,1286,2023
여의도5주차장,434,2023
여의도4주차장,232,2023
여의도1주차장,1482,2023
여의도3주차장,1036,2023
여의도5주차장,352,2023
여의도2주차장,585,2023
여의도4주차장,237,2023
여의도2주차장,1089,2023
여의도5주차장,481,2023
여의도3주차장,1232,2023
여의도1주차장,2085,2023
여의도4주차장,279,2023
여의도1주차장,2064,2023
여의도3주차장,1252,2023
여의도5주차장,408,2023
여의도2주차장,1151,2023
여의도4주차장,62,2023
여의도3주차장,2953,2023
여의도1주차장,3766,2023
여의도2주차장,1726,2023
여의도5주차장,280,2023
여의도1주차장,4142,2023
여의도5주차장,382,2023
여의도3주차장,2302,2023
여의도2주차장,1765,2023
